,Average,Split_1,Split_2,Split_3,Split_4,Split_5,wasserstein_radi,NORM,kappa
DRSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,0.1,one,0.1
RegularisedSVM_withoutSupport,0.9557057057057057,0.9448198198198199,0.9864864864864865,0.9444444444444444,0.9166666666666665,0.986111111111111,0.1,one,0.1
Classical_SVM,0.9834084084084085,0.9587087087087087,1.0,0.9861111111111112,0.9722222222222222,1.0,0.1,one,0.1
DRSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,0.1,one,0.25
RegularisedSVM_withoutSupport,0.9557014157014156,0.9035285285285286,0.9722007722007724,0.9722222222222222,0.9583333333333333,0.9722222222222222,0.1,one,0.25
Classical_SVM,0.9888095238095238,0.9861111111111112,0.9857142857142858,0.9861111111111112,1.0,0.986111111111111,0.1,one,0.25
DRSVM_withoutSupport,0.9530780780780781,0.9722222222222222,0.9459459459459459,0.888888888888889,0.986111111111111,0.9722222222222222,0.1,one,0.5
RegularisedSVM_withoutSupport,0.9584749034749035,0.9861111111111112,0.9173745173745174,0.9444444444444445,0.9722222222222222,0.9722222222222222,0.1,one,0.5
Classical_SVM,0.9832539682539683,1.0,0.9857142857142858,0.9583333333333333,1.0,0.9722222222222222,0.1,one,0.5
DRSVM_withoutSupport,0.9668918918918918,0.9451951951951952,0.9864864864864865,0.9722222222222222,0.9861111111111112,0.9444444444444444,0.1,one,1.0
RegularisedSVM_withoutSupport,0.9529236379236379,0.9174174174174174,0.9722007722007724,0.986111111111111,0.9583333333333333,0.9305555555555555,0.1,one,1.0
Classical_SVM,0.9888845988845989,0.9861111111111112,0.9722007722007724,1.0,1.0,0.9861111111111112,0.1,one,1.0
DRSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,0.5,one,0.1
RegularisedSVM_withoutSupport,0.9507507507507507,0.9046546546546547,0.9324324324324325,1.0,0.986111111111111,0.9305555555555556,0.5,one,0.1
Classical_SVM,0.986031746031746,0.9861111111111112,0.9857142857142858,1.0,0.986111111111111,0.9722222222222222,0.5,one,0.1
DRSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,0.5,one,0.25
RegularisedSVM_withoutSupport,0.956001716001716,0.90503003003003,0.9722007722007724,0.986111111111111,0.9583333333333333,0.9583333333333333,0.5,one,0.25
Classical_SVM,0.9833290433290434,0.9864864864864865,0.9857142857142858,1.0,0.986111111111111,0.9583333333333333,0.5,one,0.25
DRSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,0.5,one,0.5
RegularisedSVM_withoutSupport,0.9505255255255255,0.9324324324324325,0.972972972972973,0.9166666666666666,0.9722222222222222,0.9583333333333333,0.5,one,0.5
Classical_SVM,0.9890390390390391,0.9861111111111112,0.972972972972973,1.0,0.9861111111111112,1.0,0.5,one,0.5
DRSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,0.5,one,1.0
RegularisedSVM_withoutSupport,0.9503753753753754,0.9864864864864865,0.9459459459459459,0.9305555555555556,0.9722222222222222,0.9166666666666667,0.5,one,1.0
Classical_SVM,0.9804761904761905,1.0,0.9857142857142858,0.9861111111111112,0.9722222222222222,0.9583333333333333,0.5,one,1.0
DRSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,1.0,one,0.1
RegularisedSVM_withoutSupport,0.94496996996997,0.9590840840840841,0.9324324324324325,0.9305555555555555,0.9305555555555556,0.9722222222222222,1.0,one,0.1
Classical_SVM,0.9861818961818962,0.9725975975975977,0.9722007722007724,1.0,1.0,0.986111111111111,1.0,one,0.1
DRSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,1.0,one,0.25
RegularisedSVM_withoutSupport,0.9336958386958387,0.8915165165165164,0.9436293436293436,0.9444444444444444,0.9444444444444444,0.9444444444444444,1.0,one,0.25
Classical_SVM,0.9833290433290434,1.0,0.9722007722007724,0.9861111111111112,1.0,0.9583333333333333,1.0,one,0.25
DRSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,1.0,one,0.5
RegularisedSVM_withoutSupport,0.9393350493350493,0.9459459459459459,0.9451737451737452,0.9027777777777778,0.9305555555555555,0.9722222222222222,1.0,one,0.5
Classical_SVM,0.9834834834834836,1.0,0.972972972972973,0.9722222222222222,0.9861111111111112,0.9861111111111112,1.0,one,0.5
DRSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,1.0,one,1.0
RegularisedSVM_withoutSupport,0.9478185328185328,0.9185435435435436,0.9316602316602317,0.9444444444444444,0.9722222222222222,0.9722222222222222,1.0,one,1.0
Classical_SVM,0.988963963963964,0.9861111111111112,0.9864864864864865,1.0,1.0,0.9722222222222222,1.0,one,1.0
