,Average,Split_1,Split_2,Split_3,Split_4,Split_5,Test-Data,wasserstein_radi,NORM,kappa
DRSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1,one,0.1
RegularisedSVM_withoutSupport,0.942,0.9183333333333332,0.9375000000000001,0.9375,0.9583333333333333,0.9583333333333333,0.9412336760211168,0.1,one,0.1
Classical_SVM,0.9791666666666667,0.9791666666666667,1.0,0.9791666666666667,0.9791666666666667,0.9583333333333333,0.9915254237288136,0.1,one,0.1
DRSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1,one,0.25
RegularisedSVM_withoutSupport,0.9460000000000001,0.9383333333333332,0.9583333333333335,0.9583333333333335,0.9583333333333333,0.9166666666666666,0.9412336760211168,0.1,one,0.25
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9791666666666667,1.0,0.9791666666666667,0.9791666666666667,0.9748541261461517,0.1,one,0.25
DRSVM_withoutSupport,0.95,0.9583333333333333,0.9791666666666667,0.8958333333333333,0.9791666666666667,0.9375000000000001,0.9256737982772992,0.1,one,0.5
RegularisedSVM_withoutSupport,0.942,0.8975000000000001,0.9583333333333333,0.9791666666666667,0.9583333333333335,0.9166666666666667,0.9084467907752153,0.1,one,0.5
Classical_SVM,0.9833333333333334,0.9583333333333333,0.9791666666666667,1.0,0.9791666666666667,1.0,0.9915254237288136,0.1,one,0.5
DRSVM_withoutSupport,0.9670000000000001,0.9600000000000001,0.9583333333333335,1.0,0.9791666666666667,0.9375,0.9335926646290638,0.1,one,0.75
RegularisedSVM_withoutSupport,0.9458333333333334,0.9375,0.9583333333333335,0.9791666666666667,0.9375,0.9166666666666667,0.9499861072520145,0.1,one,0.75
Classical_SVM,0.9625000000000001,0.9791666666666667,0.9791666666666667,0.9583333333333335,0.9375,0.9583333333333335,0.9833287024173382,0.1,one,0.75
DRSVM_withoutSupport,0.9583333333333335,1.0,1.0,0.9583333333333333,0.9791666666666667,0.8541666666666666,0.9084467907752153,0.1,one,1.0
RegularisedSVM_withoutSupport,0.9458333333333333,0.9583333333333333,0.9791666666666667,0.9791666666666667,0.9166666666666665,0.8958333333333333,0.9333148096693525,0.1,one,1.0
Classical_SVM,0.9750000000000001,0.9791666666666667,0.9791666666666667,1.0,0.9583333333333335,0.9583333333333335,0.9833287024173382,0.1,one,1.0
DRSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,one,0.1
RegularisedSVM_withoutSupport,0.942,0.9391666666666668,0.9166666666666667,0.9166666666666665,0.9375,1.0,0.958738538482912,0.5,one,0.1
Classical_SVM,0.9751666666666667,0.98,0.9583333333333333,0.9583333333333335,1.0,0.9791666666666667,0.9915254237288136,0.5,one,0.1
DRSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,one,0.25
RegularisedSVM_withoutSupport,0.9381666666666666,0.8991666666666667,0.9375,0.9166666666666665,0.9791666666666667,0.9583333333333333,0.959016393442623,0.5,one,0.25
Classical_SVM,0.9711666666666667,0.9391666666666668,1.0,0.9375,1.0,0.9791666666666667,0.9833287024173382,0.5,one,0.25
DRSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,one,0.5
RegularisedSVM_withoutSupport,0.9541666666666668,0.9791666666666667,0.9375000000000001,0.9791666666666667,0.9791666666666667,0.8958333333333333,0.9505418171714365,0.5,one,0.5
Classical_SVM,0.9708333333333334,0.9791666666666667,0.9583333333333333,0.9791666666666667,0.9791666666666667,0.9583333333333335,0.9833287024173382,0.5,one,0.5
DRSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,one,0.75
RegularisedSVM_withoutSupport,0.9375,1.0,0.9791666666666667,0.9166666666666665,0.875,0.9166666666666665,0.959016393442623,0.5,one,0.75
Classical_SVM,0.9708333333333334,0.9791666666666667,0.9791666666666667,0.9583333333333335,0.9583333333333333,0.9791666666666667,0.9833287024173382,0.5,one,0.75
DRSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,one,1.0
RegularisedSVM_withoutSupport,0.9378333333333335,0.9391666666666668,0.9583333333333335,0.9583333333333335,0.9166666666666665,0.9166666666666667,0.9508196721311475,0.5,one,1.0
Classical_SVM,0.9710000000000001,0.9383333333333332,0.9583333333333335,0.9791666666666667,0.9791666666666667,1.0,0.9833287024173382,0.5,one,1.0
