,Average,Split_1,Split_2,Split_3,Split_4,Split_5,wasserstein_radi,NORM,kappa
DRSVM_withoutSupport,0.8954204204204204,0.835960960960961,0.9189189189189189,0.9305555555555555,0.888888888888889,0.9027777777777777,0.1,two,0.1
RegularisedSVM_withoutSupport,1.0,1.0,1.0,1.0,1.0,1.0,0.1,two,0.1
Classical_SVM,0.9861861861861863,1.0,0.9864864864864865,0.9722222222222222,0.9861111111111112,0.9861111111111112,0.1,two,0.1
DRSVM_withoutSupport,0.9916666666666667,1.0,1.0,0.9861111111111112,0.9722222222222222,1.0,0.1,two,0.25
RegularisedSVM_withoutSupport,1.0,1.0,1.0,1.0,1.0,1.0,0.1,two,0.25
Classical_SVM,0.988963963963964,1.0,0.9864864864864865,1.0,1.0,0.9583333333333333,0.1,two,0.25
DRSVM_withoutSupport,0.9916666666666667,0.9861111111111112,1.0,0.9861111111111112,0.9861111111111112,1.0,0.1,two,0.5
RegularisedSVM_withoutSupport,0.9971428571428571,1.0,0.9857142857142858,1.0,1.0,1.0,0.1,two,0.5
Classical_SVM,0.986027456027456,0.9864864864864865,0.9714285714285714,1.0,1.0,0.9722222222222222,0.1,two,0.5
DRSVM_withoutSupport,0.9916666666666667,0.9861111111111112,1.0,0.9861111111111112,0.9861111111111112,1.0,0.1,two,1.0
RegularisedSVM_withoutSupport,1.0,1.0,1.0,1.0,1.0,1.0,0.1,two,1.0
Classical_SVM,0.9861818961818962,1.0,0.9586872586872587,1.0,1.0,0.9722222222222222,0.1,two,1.0
DRSVM_withoutSupport,0.7651608751608752,0.7672672672672673,0.8640926640926642,0.7638888888888888,0.7916666666666665,0.638888888888889,0.5,two,0.1
RegularisedSVM_withoutSupport,1.0,1.0,1.0,1.0,1.0,1.0,0.5,two,0.1
Classical_SVM,0.9834791934791933,0.9587087087087087,0.9586872586872587,1.0,1.0,1.0,0.5,two,0.1
DRSVM_withoutSupport,0.8209116259116259,0.5356606606606606,0.791119691119691,0.875,1.0,0.9027777777777778,0.5,two,0.25
RegularisedSVM_withoutSupport,1.0,1.0,1.0,1.0,1.0,1.0,0.5,two,0.25
Classical_SVM,0.9861861861861863,1.0,0.9864864864864865,1.0,0.9583333333333333,0.9861111111111112,0.5,two,0.25
DRSVM_withoutSupport,0.986031746031746,0.9861111111111112,0.9857142857142858,0.9861111111111112,0.9722222222222222,1.0,0.5,two,0.5
RegularisedSVM_withoutSupport,1.0,1.0,1.0,1.0,1.0,1.0,0.5,two,0.5
Classical_SVM,0.9861861861861863,0.9861111111111112,0.9864864864864865,0.9861111111111112,0.9722222222222222,1.0,0.5,two,0.5
DRSVM_withoutSupport,0.9944444444444445,1.0,1.0,0.9861111111111112,0.9861111111111112,1.0,0.5,two,1.0
RegularisedSVM_withoutSupport,1.0,1.0,1.0,1.0,1.0,1.0,0.5,two,1.0
Classical_SVM,0.9832539682539683,0.9861111111111112,0.9857142857142858,0.9583333333333333,0.986111111111111,1.0,0.5,two,1.0
DRSVM_withoutSupport,0.8065980265980266,0.8352102102102102,0.8227799227799226,0.8055555555555557,0.8194444444444444,0.75,1.0,two,0.1
RegularisedSVM_withoutSupport,1.0,1.0,1.0,1.0,1.0,1.0,1.0,two,0.1
Classical_SVM,0.9834084084084085,0.9725975975975977,1.0,0.9722222222222222,1.0,0.9722222222222222,1.0,two,0.1
DRSVM_withoutSupport,0.7729558129558131,0.9185435435435436,0.8212355212355212,0.9583333333333333,0.9166666666666666,0.25,1.0,two,0.25
RegularisedSVM_withoutSupport,1.0,1.0,1.0,1.0,1.0,1.0,1.0,two,0.25
Classical_SVM,0.9776984126984127,0.9861111111111112,0.9857142857142858,0.9583333333333333,1.0,0.9583333333333333,1.0,two,0.25
DRSVM_withoutSupport,0.7034320034320034,0.8765015015015015,0.7934362934362934,0.8611111111111112,0.9444444444444445,0.04166666666666667,1.0,two,0.5
RegularisedSVM_withoutSupport,1.0,1.0,1.0,1.0,1.0,1.0,1.0,two,0.5
Classical_SVM,0.989114114114114,0.9594594594594594,1.0,0.9861111111111112,1.0,1.0,1.0,two,0.5
DRSVM_withoutSupport,0.9944444444444445,1.0,1.0,0.9861111111111112,1.0,0.9861111111111112,1.0,two,1.0
RegularisedSVM_withoutSupport,1.0,1.0,1.0,1.0,1.0,1.0,1.0,two,1.0
Classical_SVM,0.9806263406263407,0.9864864864864865,0.9722007722007724,0.9444444444444444,1.0,1.0,1.0,two,1.0
