,Average,Split_1,Split_2,Split_3,Split_4,Split_5,wasserstein_radi,NORM,kappa
DRSVM_withoutSupport,0.01,0.0,0.05,0.0,0.0,0.0,0.01,two,0.1
RegularisedSVM_withoutSupport,0.009999999999999998,0.04999999999999999,0.0,0.0,0.0,0.0,0.01,two,0.1
Classical_SVM,0.019999999999999997,0.04999999999999999,0.05,0.0,0.0,0.0,0.01,two,0.1
DRSVM_withoutSupport,0.01,0.0,0.0,0.05,0.0,0.0,0.01,two,0.25
RegularisedSVM_withoutSupport,0.009999999999999998,0.0,0.0,0.04999999999999999,0.0,0.0,0.01,two,0.25
Classical_SVM,0.009999999999999998,0.0,0.0,0.04999999999999999,0.0,0.0,0.01,two,0.25
DRSVM_withoutSupport,0.019999999999999997,0.0,0.04999999999999999,0.0,0.05,0.0,0.01,two,0.5
RegularisedSVM_withoutSupport,0.009999999999999998,0.0,0.04999999999999999,0.0,0.0,0.0,0.01,two,0.5
Classical_SVM,0.019999999999999997,0.0,0.04999999999999999,0.0,0.05,0.0,0.01,two,0.5
DRSVM_withoutSupport,0.01,0.05,0.0,0.0,0.0,0.0,0.01,two,0.75
RegularisedSVM_withoutSupport,0.009999999999999998,0.0,0.0,0.0,0.04999999999999999,0.0,0.01,two,0.75
Classical_SVM,0.019999999999999997,0.05,0.0,0.0,0.04999999999999999,0.0,0.01,two,0.75
DRSVM_withoutSupport,0.019999999999999997,0.0,0.0,0.05,0.0,0.04999999999999999,0.01,two,1.0
RegularisedSVM_withoutSupport,0.009999999999999998,0.0,0.0,0.0,0.0,0.04999999999999999,0.01,two,1.0
Classical_SVM,0.019999999999999997,0.0,0.0,0.05,0.0,0.04999999999999999,0.01,two,1.0
DRSVM_withoutSupport,0.009999999999999998,0.0,0.0,0.0,0.0,0.04999999999999999,0.1,two,0.1
RegularisedSVM_withoutSupport,0.009999999999999998,0.0,0.0,0.0,0.0,0.04999999999999999,0.1,two,0.1
Classical_SVM,0.019999999999999997,0.0,0.0,0.05,0.0,0.04999999999999999,0.1,two,0.1
DRSVM_withoutSupport,0.01,0.0,0.0,0.0,0.05,0.0,0.1,two,0.25
RegularisedSVM_withoutSupport,0.009999999999999998,0.0,0.0,0.0,0.04999999999999999,0.0,0.1,two,0.25
Classical_SVM,0.009999999999999998,0.0,0.0,0.0,0.04999999999999999,0.0,0.1,two,0.25
DRSVM_withoutSupport,0.01,0.05,0.0,0.0,0.0,0.0,0.1,two,0.5
RegularisedSVM_withoutSupport,0.009999999999999998,0.0,0.04999999999999999,0.0,0.0,0.0,0.1,two,0.5
Classical_SVM,0.019999999999999997,0.05,0.04999999999999999,0.0,0.0,0.0,0.1,two,0.5
DRSVM_withoutSupport,0.01,0.0,0.0,0.05,0.0,0.0,0.1,two,0.75
RegularisedSVM_withoutSupport,0.009999999999999998,0.04999999999999999,0.0,0.0,0.0,0.0,0.1,two,0.75
Classical_SVM,0.019999999999999997,0.04999999999999999,0.0,0.05,0.0,0.0,0.1,two,0.75
DRSVM_withoutSupport,0.01,0.05,0.0,0.0,0.0,0.0,0.1,two,1.0
RegularisedSVM_withoutSupport,0.009999999999999998,0.0,0.0,0.0,0.0,0.04999999999999999,0.1,two,1.0
Classical_SVM,0.019999999999999997,0.05,0.0,0.0,0.0,0.04999999999999999,0.1,two,1.0
DRSVM_withoutSupport,0.17,0.15,0.25,0.05,0.25,0.15,0.5,two,0.1
RegularisedSVM_withoutSupport,0.09999999999999999,0.0,0.0,0.04999999999999999,0.0,0.45,0.5,two,0.1
Classical_SVM,0.019999999999999997,0.0,0.0,0.04999999999999999,0.0,0.05,0.5,two,0.1
DRSVM_withoutSupport,0.03,0.0,0.0,0.0,0.0,0.15,0.5,two,0.25
RegularisedSVM_withoutSupport,0.039999999999999994,0.0,0.04999999999999999,0.0,0.09999999999999998,0.04999999999999999,0.5,two,0.25
Classical_SVM,0.019999999999999997,0.0,0.0,0.0,0.05,0.04999999999999999,0.5,two,0.25
DRSVM_withoutSupport,0.009999999999999998,0.0,0.0,0.0,0.04999999999999999,0.0,0.5,two,0.5
RegularisedSVM_withoutSupport,0.09999999999999999,0.0,0.0,0.45,0.04999999999999999,0.0,0.5,two,0.5
Classical_SVM,0.009999999999999998,0.0,0.0,0.0,0.04999999999999999,0.0,0.5,two,0.5
DRSVM_withoutSupport,0.009999999999999998,0.04999999999999999,0.0,0.0,0.0,0.0,0.5,two,0.75
RegularisedSVM_withoutSupport,0.11,0.04999999999999999,0.0,0.0,0.0,0.5,0.5,two,0.75
Classical_SVM,0.019999999999999997,0.04999999999999999,0.0,0.0,0.05,0.0,0.5,two,0.75
DRSVM_withoutSupport,0.009999999999999998,0.0,0.0,0.0,0.0,0.04999999999999999,0.5,two,1.0
RegularisedSVM_withoutSupport,0.09,0.0,0.0,0.0,0.4,0.04999999999999999,0.5,two,1.0
Classical_SVM,0.019999999999999997,0.0,0.0,0.05,0.0,0.04999999999999999,0.5,two,1.0
DRSVM_withoutSupport,0.99,1.0,1.0,0.9500000000000001,1.0,1.0,1.0,two,0.1
RegularisedSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,1.0,two,0.1
Classical_SVM,0.009999999999999998,0.0,0.0,0.04999999999999999,0.0,0.0,1.0,two,0.1
DRSVM_withoutSupport,0.019999999999999997,0.05,0.0,0.04999999999999999,0.0,0.0,1.0,two,0.25
RegularisedSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,1.0,two,0.25
Classical_SVM,0.009999999999999998,0.0,0.0,0.04999999999999999,0.0,0.0,1.0,two,0.25
DRSVM_withoutSupport,0.009999999999999998,0.0,0.04999999999999999,0.0,0.0,0.0,1.0,two,0.5
RegularisedSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,1.0,two,0.5
Classical_SVM,0.019999999999999997,0.05,0.04999999999999999,0.0,0.0,0.0,1.0,two,0.5
DRSVM_withoutSupport,0.009999999999999998,0.0,0.0,0.04999999999999999,0.0,0.0,1.0,two,0.75
RegularisedSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,1.0,two,0.75
Classical_SVM,0.019999999999999997,0.0,0.0,0.04999999999999999,0.05,0.0,1.0,two,0.75
DRSVM_withoutSupport,0.009999999999999998,0.0,0.0,0.0,0.0,0.04999999999999999,1.0,two,1.0
RegularisedSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,1.0,two,1.0
Classical_SVM,0.019999999999999997,0.0,0.0,0.05,0.0,0.04999999999999999,1.0,two,1.0
