,Average,Split_1,Split_2,Split_3,Split_4,Split_5,wasserstein_radi,NORM,kappa
DRSVM_withoutSupport,0.0811990561990562,0.06906906906906904,0.15637065637065634,0.04166666666666667,0.06944444444444445,0.06944444444444442,0.1,two,0.1
RegularisedSVM_withoutSupport,0.0,0.0,0.0,0.0,0.0,0.0,0.1,two,0.1
Classical_SVM,0.01103603603603603,0.027777777777777776,0.013513513513513487,0.0,0.0,0.013888888888888888,0.1,two,0.1
DRSVM_withoutSupport,0.005555555555555555,0.0,0.0,0.0,0.013888888888888888,0.013888888888888888,0.1,two,0.25
RegularisedSVM_withoutSupport,0.0,0.0,0.0,0.0,0.0,0.0,0.1,two,0.25
Classical_SVM,0.016591591591591588,0.05518018018018015,0.0,0.013888888888888895,0.0,0.013888888888888888,0.1,two,0.25
DRSVM_withoutSupport,0.005555555555555555,0.0,0.0,0.013888888888888888,0.013888888888888888,0.0,0.1,two,0.5
RegularisedSVM_withoutSupport,0.0,0.0,0.0,0.0,0.0,0.0,0.1,two,0.5
Classical_SVM,0.016591591591591588,0.0,0.013513513513513487,0.027777777777777776,0.027777777777777776,0.013888888888888895,0.1,two,0.5
DRSVM_withoutSupport,0.005555555555555555,0.0,0.0,0.0,0.013888888888888888,0.013888888888888888,0.1,two,0.75
RegularisedSVM_withoutSupport,0.0,0.0,0.0,0.0,0.0,0.0,0.1,two,0.75
Classical_SVM,0.022230802230802232,0.02702702702702703,0.02857142857142857,0.0,0.013888888888888888,0.04166666666666667,0.1,two,0.75
DRSVM_withoutSupport,0.0027777777777777775,0.013888888888888888,0.0,0.0,0.0,0.0,0.1,two,1.0
RegularisedSVM_withoutSupport,0.0,0.0,0.0,0.0,0.0,0.0,0.1,two,1.0
Classical_SVM,0.0165958815958816,0.013888888888888888,0.04131274131274131,0.0,0.0,0.02777777777777779,0.1,two,1.0
DRSVM_withoutSupport,0.22435435435435436,0.2875375375375375,0.16756756756756752,0.29166666666666663,0.16666666666666669,0.20833333333333337,1.0,two,0.1
RegularisedSVM_withoutSupport,0.0,0.0,0.0,0.0,0.0,0.0,1.0,two,0.1
Classical_SVM,0.01111111111111111,0.013888888888888888,0.0,0.0,0.027777777777777776,0.013888888888888895,1.0,two,0.1
DRSVM_withoutSupport,0.25779064779064775,0.17567567567567566,0.8077220077220076,0.11111111111111113,0.041666666666666664,0.15277777777777776,1.0,two,0.25
RegularisedSVM_withoutSupport,0.0,0.0,0.0,0.0,0.0,0.0,1.0,two,0.25
Classical_SVM,0.01381381381381381,0.04129129129129126,0.0,0.013888888888888895,0.013888888888888888,0.0,1.0,two,0.25
DRSVM_withoutSupport,0.17644358644358643,0.28603603603603606,0.15173745173745173,0.11111111111111108,0.2638888888888889,0.06944444444444445,1.0,two,0.5
RegularisedSVM_withoutSupport,0.0,0.0,0.0,0.0,0.0,0.0,1.0,two,0.5
Classical_SVM,0.011036036036036034,0.027402402402402375,0.0,0.0,0.013888888888888895,0.013888888888888895,1.0,two,0.5
DRSVM_withoutSupport,0.08574860574860574,0.05518018018018015,0.13745173745173742,0.05555555555555556,0.09722222222222224,0.08333333333333334,1.0,two,0.75
RegularisedSVM_withoutSupport,0.0,0.0,0.0,0.0,0.0,0.0,1.0,two,0.75
Classical_SVM,0.01674603174603175,0.013888888888888888,0.014285714285714285,0.013888888888888895,0.04166666666666667,0.0,1.0,two,0.75
DRSVM_withoutSupport,0.02214714714714714,0.08333333333333333,0.013513513513513487,0.0,0.013888888888888888,0.0,1.0,two,1.0
RegularisedSVM_withoutSupport,0.0,0.0,0.0,0.0,0.0,0.0,1.0,two,1.0
Classical_SVM,0.011111111111111113,0.0,0.0,0.0,0.027777777777777783,0.027777777777777783,1.0,two,1.0
